#PERSONAL_ID;VORNAME;NACHNAME;GESCHLECHT;EMAIL;TELEFONNUMMER;PERSONALNUMMER;GEBURTSTAG;ROLLE;STOERUNGEN_IDS;DUMMY_DATA
15;Adam;Admin;MAENNLICH;adam@bester-campingplatz.de;+0000000069;15;2023-07-15;ADMINISTRATOR;;NULL
16;Kira;Empfangsdame;WEIBLICH;k@swe.io;+0000000420;16;2023-07-15;EMPFANG;;NULL
17;David;zum Empfang;MAENNLICH;hacker@dhbw-karlsruhe.de;+1010101010;17;2023-07-15;EMPFANG;;NULL
18;Alex;Wartburg;DIVERS;wartburgfest@1817.de;+0000000300;18;2023-07-15;PLATZWART;;NULL
19;Peter;zu und auf dem Platz;MAENNLICH;peter69@gmail.com;+0000000015;19;2023-07-15;PLATZWART;;NULL
20;Aphrodite;Schönste;WEIBLICH;gott@olymp.net;+1200023459;20;2023-07-15;HAUSMEISTER;;NULL
21;Helios;Rhodos;MAENNLICH;koloss@rodoss.gr;+0000000227;21;2023-07-15;HAUSMEISTER;;NULL
22;Leonie;Haus;WEIBLICH;weisses@haus.us;+0000001817;22;2023-07-15;HAUSMEISTER;;NULL
23;Giesela;Gärtnerin;WEIBLICH;meinemail@gies-gaertner.in;+0050340040;23;2023-07-15;HAUSMEISTER;;NULL
24;Franz;Franzose;MAENNLICH;fr@fr.fr;+0000000003;24;2023-07-15;HAUSMEISTER;;NULL
